"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TRINITY_DN238438_c0_g1"	8.38457348451859	6.80407334010383	8.89934889523794	0.00582034591839413	0.0659810895704679
"TRINITY_DN256523_c0_g1"	-8.39913661014827	6.97444279988403	8.81937737282129	0.00589612244690699	0.0662537969691917
"TRINITY_DN254145_c0_g1"	-7.88097227525451	6.72358018754954	8.78055222910323	0.00599299423361697	0.0665530107434763
"TRINITY_DN278310_c0_g1"	-7.72113615182727	6.67556486759428	8.76721891516376	0.00602665827185266	0.0665530107434763
"TRINITY_DN371385_c0_g1"	6.45789961092358	6.4641109619653	8.62560102547398	0.00652386276262094	0.0714279333240806
"TRINITY_DN23841_c0_g1"	-7.69423338396136	6.67049505947024	8.5037881450586	0.00673555858742588	0.0731207673770555
"TRINITY_DN226665_c1_g1"	-7.53241830251102	6.74175283068086	8.45143090964083	0.00688693889600873	0.0733609489461002
"TRINITY_DN299725_c0_g1"	-4.75333970132495	11.952223921134	8.24331803509798	0.00696444252075527	0.0733609489461002
"TRINITY_DN314108_c3_g4"	-6.11024128740395	8.36504524387242	8.24070722487835	0.00697249366927004	0.0733609489461002
"TRINITY_DN336_c0_g1"	7.21039354614069	6.55528415324109	8.46242444978771	0.00698675704248574	0.0733609489461002
"TRINITY_DN4872_c0_g1"	-7.28644278234728	6.61416860869512	8.3020620064665	0.00733944290836385	0.0764035775972847
"TRINITY_DN231568_c0_g1"	6.60543637326394	6.4838788020619	8.3145187550301	0.00743725604907287	0.0764035775972847
"TRINITY_DN220145_c0_g1"	-6.73105213412459	6.54266784636294	8.26537043709204	0.00745546229481701	0.0764035775972847
"TRINITY_DN276269_c0_g1"	-8.02361300786543	7.37798680141655	8.08830040436563	0.00766979237027277	0.0771712245614768
"TRINITY_DN238637_c0_g1"	-8.19878242295481	7.26166231036108	8.06708729199006	0.00774165976760016	0.0771712245614768
"TRINITY_DN299201_c0_g1"	-6.86235901360129	8.1818144199691	8.00228860468421	0.00775163733678233	0.0771712245614768
"TRINITY_DN316970_c3_g1"	-5.94534077581042	11.4556551426482	7.98973053752594	0.0077951922077812	0.0771712245614768
"TRINITY_DN172934_c0_g1"	8.68520280033821	7.27459361367586	8.07484804481557	0.00783158406947072	0.0771712245614768
"TRINITY_DN67038_c0_g1"	-6.53518995698735	6.51712037392744	8.11494218364126	0.00795233873701464	0.0777629459703493
"TRINITY_DN314629_c1_g1"	-3.71292909843371	12.5935624649491	7.79648775240604	0.00849967113773022	0.082485444904791
"TRINITY_DN150505_c0_g1"	6.55577760077656	6.47671928087561	7.81557025401767	0.0092057380008837	0.0886657923243009
"TRINITY_DN274885_c0_g1"	6.91304551536683	8.03067107334493	7.58143121290711	0.00936509136699605	0.0895274779188204
"TRINITY_DN102516_c0_g1"	-5.90343915538653	6.44654051895397	7.68841637678731	0.00956730948616844	0.0905681947004644
"TRINITY_DN227530_c0_g1"	-6.36000986270014	6.53655376223976	7.67078029938347	0.00964134054231348	0.0905681947004644
"TRINITY_DN38070_c0_g1"	6.90164836687314	6.57994017811454	7.69069529762706	0.00971671034626456	0.0905681947004644
"TRINITY_DN277229_c0_g2"	-7.74079040253506	7.72448600550236	7.53140793131773	0.00982025970879121	0.0905681947004644
"TRINITY_DN254151_c0_g1"	7.09785732774976	6.62409724862034	7.66457171266319	0.00982746218841885	0.0905681947004644
"TRINITY_DN317247_c1_g2"	-7.68093062375492	6.67258677109638	7.59447221937541	0.00996890840854929	0.091215511938226
"TRINITY_DN35980_c0_g1"	-5.82020903723548	6.40884453397897	7.5753934731882	0.0100526842433289	0.0913297057851371
"TRINITY_DN278313_c0_g1"	-7.54819395301845	7.01025833375882	7.52728135552264	0.0102673639845389	0.0926231920013685
"TRINITY_DN2713_c0_g1"	6.45144304494662	6.49403561682438	7.54508493983169	0.0103518518133029	0.0927323228869999
"TRINITY_DN317294_c9_g1"	-3.71771657112011	11.4340035007602	7.30110140203856	0.010638473052917	0.0946380831999075
"TRINITY_DN220307_c0_g1"	6.27132596755324	6.46582333912596	7.43303539145718	0.0108713857932014	0.0960430703523514
"TRINITY_DN276865_c0_g1"	-6.56527711637543	8.93988738974079	7.13660218785666	0.0114716813371642	0.0999624604160239
"TRINITY_DN316268_c0_g3"	-6.79696845413427	8.86367115150975	7.12782765964109	0.0115180598849943	0.0999624604160239
"TRINITY_DN294614_c0_g1"	-7.23935922177386	7.910536923713	7.17199071832814	0.0115491367225383	0.0999624604160239
"TRINITY_DN375730_c0_g1"	-5.09610836642441	6.34274128778955	7.14115496765	0.0121822750422504	0.104734861269281
"TRINITY_DN278921_c1_g2"	-6.44628236716144	7.82960726360152	6.84931007798796	0.0133840273304939	0.114206795653637
"TRINITY_DN2517_c0_g1"	-5.7663861512408	6.45294424921653	6.91824572046935	0.0134623154907878	0.114206795653637
"TRINITY_DN150655_c0_g1"	5.25807860087156	6.34758062380869	6.87375928338827	0.0139271653238924	0.117373018288857
"TRINITY_DN238271_c0_g1"	-7.01199546877138	6.86602399121252	6.72626756293755	0.0141649160215501	0.118596453749057
"TRINITY_DN311775_c0_g3"	-4.65105086465208	12.4269900753199	6.64813154107985	0.0143893323348568	0.119693082603581
"TRINITY_DN5913_c0_g1"	6.83201155977153	6.91752355785308	6.60942774236178	0.0151175124398737	0.124938925390182
"TRINITY_DN63063_c0_g1"	-6.78033699887622	6.86234285779941	6.5208078431947	0.0157497834466842	0.129329952533349
"TRINITY_DN292968_c0_g1"	-6.30446837342389	8.2262344091621	6.37943980031713	0.016328791638676	0.132609085357546
"TRINITY_DN276940_c0_g1"	6.12414461616377	7.94118857640295	6.37339709051301	0.0163755392953808	0.132609085357546
"TRINITY_DN312097_c0_g1"	5.92354568008713	6.4904789139975	6.50175196569424	0.0164739879848785	0.132609085357546
"TRINITY_DN312006_c1_g2"	-7.87982770042353	7.22747243292002	6.46211522691313	0.0165631956730737	0.132609085357546
"TRINITY_DN353201_c0_g1"	5.22390887308344	6.35203476461491	6.40581693499951	0.0172105707075032	0.136936279977091
"TRINITY_DN238434_c0_g1"	7.18339599051395	6.8722124020701	6.3694901567906	0.0174988318069995	0.138370392251644
"TRINITY_DN523509_c0_g1"	-5.44232516329456	6.40514851993394	6.31349207647963	0.0177357519123882	0.139383424538462
"TRINITY_DN344357_c0_g1"	5.37255381984492	6.39846736651329	6.31366347194104	0.0179521868006356	0.14022409324155
"TRINITY_DN211138_c0_g1"	6.19479487792887	6.56970788633908	6.25187234873221	0.0184690300031401	0.142093724965575
"TRINITY_DN222187_c0_g1"	6.19479487792887	6.56970788633908	6.25187234873221	0.0184690300031401	0.142093724965575
"TRINITY_DN314214_c0_g4"	-4.49590797211848	10.2298399721269	6.11415130642148	0.0185243185552311	0.142093724965575
"TRINITY_DN106797_c0_g1"	4.77816063369768	6.31476509189242	6.22273388012124	0.0187183923638313	0.142223940269442
"TRINITY_DN62284_c0_g1"	-4.72247484343663	6.3205167422305	6.17297149583126	0.0189282399510006	0.142223940269442
"TRINITY_DN312708_c0_g5"	5.82632933514702	6.48983636904407	6.19566644527106	0.0189533394613281	0.142223940269442
"TRINITY_DN25206_c0_g1"	-4.52787940806254	6.29860108669514	6.16648118455334	0.0189853971788249	0.142223940269442
"TRINITY_DN173244_c0_g1"	5.8915538049158	6.5028902227629	6.14729685276351	0.0193812806561393	0.144345468142526
"TRINITY_DN371424_c0_g1"	5.56338742537392	6.44144478500266	6.04283047730845	0.0203421337488083	0.150625857411696
"TRINITY_DN254040_c0_g1"	-6.66767930579059	7.18782273276869	5.90335293767265	0.0208484287975665	0.153487570630361
"TRINITY_DN34086_c0_g1"	5.08715516462711	6.36216255421865	6.55736872562062	0.0211945611234333	0.15426269605552
"TRINITY_DN616796_c0_g1"	5.09447138005758	6.35828178326077	6.0592940460765	0.0211945624557155	0.15426269605552
"TRINITY_DN316993_c2_g1"	3.44271387995955	10.8635480117812	5.79134865313047	0.0216375342017508	0.156597069561824
"TRINITY_DN310763_c2_g1"	-6.29624673417879	6.8367297293074	5.82355566867508	0.0218564801500213	0.156704536617364
"TRINITY_DN462817_c0_g1"	5.05060588523718	6.3916786959288	5.88442694100753	0.0219002918434499	0.156704536617364
"TRINITY_DN492528_c0_g1"	5.13512727752591	6.378134900886	5.86378218344953	0.0221128396434854	0.156704536617364
"TRINITY_DN314160_c5_g1"	-2.89964770994855	12.9008180911092	5.73231268243667	0.0222661220623223	0.156704536617364
"TRINITY_DN314218_c0_g1"	-4.12635171137894	10.2105934851994	5.73196947590042	0.0222698339086288	0.156704536617364
"TRINITY_DN31468_c0_g1"	6.07086716557872	7.02984327847655	5.76746576795758	0.0224498502063323	0.156704536617364
"TRINITY_DN296750_c0_g5"	-5.75729591942312	7.62105177283727	5.70087304326355	0.0226089568128018	0.156704536617364
"TRINITY_DN317260_c4_g1"	-4.58782166732102	9.50623270999861	5.69886733732644	0.0226310220719846	0.156704536617364
"TRINITY_DN38558_c0_g1"	-5.11623204217765	6.37301725206591	5.8647969349731	0.0228971243176778	0.157694711026588
"TRINITY_DN233692_c0_g1"	-6.59023412588479	6.84016761145158	5.74783624241693	0.0231038220130058	0.158267358281607
"TRINITY_DN238435_c0_g1"	4.93662875472521	6.37739352031012	5.73005682642415	0.0235457228819599	0.159802770779806
"TRINITY_DN29922_c0_g1"	-5.4053841664084	6.49129849644926	5.69672913075559	0.0236702844422606	0.159802770779806
"TRINITY_DN649901_c0_g1"	-5.19786120457096	6.38689539781424	5.79681635831235	0.0239791042431404	0.159802770779806
"TRINITY_DN385116_c0_g1"	-4.10727496219724	6.26791090080302	5.66680795083516	0.0240089861153623	0.159802770779806
"TRINITY_DN674368_c0_g1"	-4.10727496219724	6.26791090080302	5.66680795083516	0.0240089861153623	0.159802770779806
"TRINITY_DN220363_c0_g1"	-6.22400685855213	7.718668182735	5.61311213656663	0.0241755758949412	0.159802770779806
"TRINITY_DN4636_c0_g1"	-4.7351048225298	6.36794751072843	5.64495088692891	0.0242597648674306	0.159802770779806
"TRINITY_DN34981_c0_g1"	5.08271712811187	6.40020703552912	5.6609518397094	0.0243259487135536	0.159802770779806
"TRINITY_DN32490_c0_g1"	-4.71702914811412	6.36509104809102	5.62253057459418	0.0245199967183333	0.160255692837678
"TRINITY_DN294665_c8_g5"	-5.01755236403316	8.28215880744676	5.48518967162839	0.0251215857325234	0.163354067631282
"TRINITY_DN139764_c0_g1"	-4.96313357201749	6.40475894001875	5.55927240270643	0.025270901803001	0.163495076816385
"TRINITY_DN276980_c0_g2"	5.8511980297776	6.79472736317468	5.48838646170326	0.0256761773397562	0.164959623686126
"TRINITY_DN250501_c0_g1"	-4.77079664903941	6.37364584444636	5.51959016675576	0.0257548202476388	0.164959623686126
"TRINITY_DN6107_c0_g1"	-5.31374750334023	6.59310008216434	5.46421882766487	0.0259785730067881	0.165432203916745
"TRINITY_DN3178_c0_g1"	-4.5737683874926	6.34218284331191	5.49283088592994	0.026086889298347	0.165432203916745
"TRINITY_DN220414_c0_g1"	-5.00546680223278	6.41473928505266	5.45508669867786	0.0265633013596099	0.166877330801457
"TRINITY_DN222929_c0_g1"	-4.48511014793134	6.3330348951077	5.45414473328078	0.0265753126334873	0.166877330801457
"TRINITY_DN278960_c0_g1"	-5.97112656587332	7.9769268631947	5.31697297458283	0.0272924623745147	0.170544606350016
"TRINITY_DN314214_c0_g2"	-4.36862617059896	8.84830865342539	5.25322112478803	0.0281679691621966	0.174094152357052
"TRINITY_DN294764_c0_g1"	-6.22301338449491	7.5853834274371	5.25457979289001	0.0285507996722253	0.174094152357052
"TRINITY_DN11596_c0_g1"	4.72662634208511	6.32985083414747	5.66666653496276	0.0286759289982805	0.174094152357052
"TRINITY_DN17353_c0_g1"	4.72662634208511	6.32985083414747	5.66666653496276	0.0286759289982805	0.174094152357052
"TRINITY_DN172856_c0_g1"	4.78501682564419	6.33704901478785	5.66619970208144	0.0286759290273737	0.174094152357052
"TRINITY_DN294652_c0_g1"	4.84595462763574	6.33387737776033	6.22871656588178	0.0286759298574068	0.174094152357052
"TRINITY_DN227513_c0_g1"	-5.82626204236167	6.66864030010087	5.15732669245791	0.0299527427469752	0.1741008890722
"TRINITY_DN594267_c0_g1"	-4.23012039239252	6.30315995633964	5.32882276326372	0.0300496235243775	0.1741008890722
"TRINITY_DN64831_c0_g1"	-4.2541925739537	6.30613986543725	5.38849422205575	0.0300496235310564	0.1741008890722
"TRINITY_DN314250_c1_g1"	-4.27803328291175	6.30911449455354	5.32862154192945	0.0300496235377351	0.1741008890722
"TRINITY_DN455696_c0_g1"	-4.3724234716471	6.32206920696231	5.7706199597873	0.0300496235703851	0.1741008890722
"TRINITY_DN111788_c0_g1"	-4.52782571607115	6.34590849864894	5.69393783630665	0.0300496236432676	0.1741008890722
"TRINITY_DN540200_c0_g1"	-4.58367308681725	6.34704831858784	5.41422581681519	0.0300496246254389	0.1741008890722
"TRINITY_DN593402_c0_g1"	-4.78607434526009	6.37667981393263	5.35982314797646	0.0300496246871108	0.1741008890722
"TRINITY_DN666083_c0_g1"	-5.15536470713376	6.39671271517184	5.92883802512752	0.0300496272321263	0.1741008890722
"TRINITY_DN312762_c1_g3"	-5.62187197258501	6.45334138141881	5.93493095157511	0.0300496306986699	0.1741008890722
"TRINITY_DN294198_c5_g1"	5.42132134089427	8.48936007450025	5.11508676252	0.0301720510335896	0.1741008890722
"TRINITY_DN271513_c0_g1"	-6.17436002372429	7.23855857453727	5.09456668861495	0.0308974162067835	0.176930033191431
"TRINITY_DN277372_c0_g3"	5.49453641415647	6.8286718803421	5.10676006270142	0.0309385850389388	0.176930033191431
