gene,signLogP
TRINITY_DN102431_c0_g1,5.04067266242736
TRINITY_DN104822_c0_g1,4.78491185671413
TRINITY_DN111410_c0_g1,12.4815870518139
TRINITY_DN111543_c0_g1,5.30449282850044
TRINITY_DN111591_c0_g1,4.98746634324297
TRINITY_DN139711_c0_g1,5.5035591736045
TRINITY_DN151645_c0_g1,5.10146260431229
TRINITY_DN151688_c0_g1,5.15610862694451
TRINITY_DN151705_c0_g1,5.68538191429798
TRINITY_DN172940_c0_g1,5.37318456001496
TRINITY_DN175296_c0_g1,17.3032806936964
TRINITY_DN2119_c1_g1,7.9089080602521
TRINITY_DN22035_c0_g1,5.05112335845209
TRINITY_DN223644_c0_g1,24.2627022028871
TRINITY_DN226183_c0_g1,28.8437249281204
TRINITY_DN226613_c0_g1,5.93852776130948
TRINITY_DN226664_c0_g1,10.7088316321163
TRINITY_DN226686_c0_g1,25.1057001416316
TRINITY_DN226922_c0_g1,8.08592462981935
TRINITY_DN227360_c0_g2,5.30133714006937
TRINITY_DN228040_c0_g1,5.24528895616535
TRINITY_DN231504_c0_g1,5.30078161018427
TRINITY_DN231598_c0_g2,5.31681096801871
TRINITY_DN233040_c0_g2,5.46205404821256
TRINITY_DN233686_c0_g1,8.65717741925393
TRINITY_DN234168_c0_g1,21.2496060968169
TRINITY_DN234179_c0_g1,6.66783643172264
TRINITY_DN238280_c0_g1,5.52082530900597
TRINITY_DN250557_c0_g1,7.7720892264482
TRINITY_DN252876_c0_g1,16.0193352288872
TRINITY_DN254084_c0_g1,15.7299359393741
TRINITY_DN254239_c0_g1,30.0834739196235
TRINITY_DN254309_c0_g1,25.8466026950965
TRINITY_DN25521_c0_g1,5.48338099216627
TRINITY_DN255257_c0_g1,32.1128186767912
TRINITY_DN255876_c0_g1,33.8660382291265
TRINITY_DN255905_c0_g1,5.35433971848402
TRINITY_DN255960_c0_g1,5.53407845144291
TRINITY_DN255993_c0_g1,7.21306326375494
TRINITY_DN256219_c0_g2,19.8099756060968
TRINITY_DN256326_c0_g1,12.4230330363177
TRINITY_DN256462_c0_g1,5.70798121560845
TRINITY_DN256557_c0_g2,5.06560245433097
TRINITY_DN257902_c0_g1,4.98433931716605
TRINITY_DN257903_c0_g1,6.3236431432042
TRINITY_DN259522_c0_g1,5.14974723929837
TRINITY_DN259595_c0_g1,29.8493120660645
TRINITY_DN271000_c0_g1,27.4054994457699
TRINITY_DN271265_c0_g1,28.88335413959
TRINITY_DN271268_c0_g1,16.2047931413694
TRINITY_DN271596_c0_g1,5.24547784028846
TRINITY_DN271641_c0_g3,5.80364582444557
TRINITY_DN271649_c0_g1,5.53350620046356
TRINITY_DN274001_c0_g1,22.6441740802696
TRINITY_DN274054_c0_g1,17.7605155807193
TRINITY_DN274058_c0_g1,5.72004652386045
TRINITY_DN274635_c0_g1,16.2580329095916
TRINITY_DN274662_c0_g1,8.7731340607469
TRINITY_DN274697_c0_g1,5.8358495093003
TRINITY_DN274795_c0_g2,23.2236192364413
TRINITY_DN274796_c0_g1,5.37538815443801
TRINITY_DN274809_c0_g1,21.7068957490783
TRINITY_DN274823_c0_g1,30.9654123199354
TRINITY_DN274831_c0_g1,6.15068439985579
TRINITY_DN274840_c0_g2,32.0792455352514
TRINITY_DN276016_c0_g1,19.1095180114359
TRINITY_DN276022_c0_g1,22.25570313725
TRINITY_DN276025_c0_g1,31.5488693745252
TRINITY_DN276063_c0_g1,29.0472799769026
TRINITY_DN276081_c0_g1,5.29333405298537
TRINITY_DN276081_c0_g2,5.29438355317162
TRINITY_DN276264_c0_g1,31.2716607560559
TRINITY_DN276264_c0_g3,34.0601601687074
TRINITY_DN276409_c0_g1,6.61954116897909
TRINITY_DN276418_c0_g1,6.42947241760669
TRINITY_DN276539_c0_g1,8.9104042713446
TRINITY_DN276554_c0_g1,13.8590261361349
TRINITY_DN276582_c0_g1,5.43502857132374
TRINITY_DN276607_c0_g1,21.8514182424687
TRINITY_DN276631_c0_g2,25.5989359068848
TRINITY_DN276910_c0_g1,13.3172652592612
TRINITY_DN276910_c0_g2,22.1073623229936
TRINITY_DN276935_c0_g1,6.86731030036844
TRINITY_DN276943_c0_g1,6.37594883877945
TRINITY_DN276974_c0_g1,16.9953681718209
TRINITY_DN276992_c0_g1,22.1054193385304
TRINITY_DN277043_c0_g1,25.7822061816302
TRINITY_DN277043_c0_g2,5.65786475239208
TRINITY_DN277209_c0_g1,6.52362494958439
TRINITY_DN277215_c0_g1,33.2324252989069
TRINITY_DN277252_c0_g1,6.08136542375344
TRINITY_DN277371_c0_g1,29.4023031306555
TRINITY_DN277373_c0_g1,5.95946042173044
TRINITY_DN277393_c0_g1,25.2738524976198
TRINITY_DN277394_c0_g1,11.4848002340501
TRINITY_DN277915_c0_g1,33.793459082109
TRINITY_DN278325_c0_g1,6.02517418338692
TRINITY_DN278380_c0_g1,8.32190947849428
TRINITY_DN278923_c1_g1,9.73125710269253
TRINITY_DN278928_c0_g1,6.33661947131113
TRINITY_DN278965_c0_g1,6.46807449766107
TRINITY_DN292320_c0_g2,32.1417697014953
TRINITY_DN292320_c0_g4,31.5122890973909
TRINITY_DN292331_c0_g1,20.9033488667807
TRINITY_DN292335_c2_g3,5.71323418995579
TRINITY_DN292371_c5_g1,4.77921873877176
TRINITY_DN292384_c0_g1,29.6708999147268
TRINITY_DN292387_c4_g1,9.33144742186829
TRINITY_DN292660_c0_g1,17.723845478479
TRINITY_DN292914_c1_g1,9.07054521994917
TRINITY_DN292970_c0_g1,29.339548939379
TRINITY_DN292970_c0_g2,8.71111229538282
TRINITY_DN292975_c0_g1,16.522999145756
TRINITY_DN292978_c1_g13,7.94205347768472
TRINITY_DN292998_c2_g1,28.0777096055343
TRINITY_DN292998_c5_g6,8.42577427631062
TRINITY_DN293332_c0_g1,26.9573160409376
TRINITY_DN293332_c0_g2,27.0860313585846
TRINITY_DN293340_c0_g2,5.28099067849999
TRINITY_DN293346_c7_g1,6.35141259690512
TRINITY_DN293348_c0_g2,31.1226105681196
TRINITY_DN293350_c0_g1,27.3035410903937
TRINITY_DN293383_c0_g1,8.52703195283774
TRINITY_DN293385_c0_g1,9.26234168011244
TRINITY_DN293394_c0_g1,9.1396663469271
TRINITY_DN293455_c0_g1,26.1076060713371
TRINITY_DN293455_c0_g2,6.07598507300557
TRINITY_DN293483_c0_g1,5.68452780382023
TRINITY_DN293492_c0_g1,16.9988822561221
TRINITY_DN293493_c3_g1,8.88502970853892
TRINITY_DN293493_c3_g4,5.01351417402669
TRINITY_DN293493_c3_g6,4.88346705983314
TRINITY_DN293494_c0_g1,27.3187975136268
TRINITY_DN293682_c3_g2,26.370532593264
TRINITY_DN293689_c0_g1,8.34872147430452
TRINITY_DN293689_c0_g3,6.60086336798486
TRINITY_DN293818_c2_g1,5.55970729782792
TRINITY_DN293818_c2_g2,6.71968035909413
TRINITY_DN293826_c5_g4,6.40918485623508
TRINITY_DN293895_c0_g1,16.9813890424326
TRINITY_DN294161_c0_g1,9.76544173681222
TRINITY_DN294161_c0_g2,22.424682088788
TRINITY_DN294184_c0_g1,7.62992547267019
TRINITY_DN294185_c1_g1,5.32768950630131
TRINITY_DN294189_c0_g1,7.53776981182382
TRINITY_DN294194_c0_g1,27.4683378490998
TRINITY_DN294194_c0_g2,27.7782288486035
TRINITY_DN294650_c0_g4,14.0307956448902
TRINITY_DN294652_c0_g3,17.0176505810228
TRINITY_DN294657_c0_g2,15.9751584816455
TRINITY_DN294767_c5_g1,5.5007863391886
TRINITY_DN294767_c5_g2,5.79216055063432
TRINITY_DN294772_c2_g5,7.3517074414513
TRINITY_DN294775_c0_g1,8.52819947788875
TRINITY_DN294775_c0_g2,6.73547534628575
TRINITY_DN294776_c2_g6,9.09442047174076
TRINITY_DN294779_c1_g9,6.74361061679053
TRINITY_DN294781_c1_g1,7.70937531448457
TRINITY_DN294781_c2_g1,5.77301774280834
TRINITY_DN295075_c3_g1,7.86494803258751
TRINITY_DN295083_c1_g3,16.0669883870359
TRINITY_DN295213_c0_g1,24.571334342846
TRINITY_DN295214_c0_g1,6.78368903575611
TRINITY_DN295218_c0_g1,22.1103060224855
TRINITY_DN295223_c0_g1,7.64022525294633
TRINITY_DN295224_c1_g2,34.7777778071615
TRINITY_DN295269_c0_g3,18.8445655368903
TRINITY_DN295269_c0_g4,11.2701505807866
TRINITY_DN295269_c0_g5,11.937774522853
TRINITY_DN295269_c0_g6,6.97467970940067
TRINITY_DN296278_c0_g3,26.7763294890695
TRINITY_DN296278_c0_g4,9.5235823409081
TRINITY_DN296278_c0_g5,22.3485009911595
TRINITY_DN296377_c0_g1,14.7679913526834
TRINITY_DN296379_c5_g1,6.91276847053935
TRINITY_DN296758_c2_g5,16.6217515062381
TRINITY_DN296759_c4_g1,8.34623869269758
TRINITY_DN296771_c4_g2,6.03590752051634
TRINITY_DN296786_c0_g3,14.0726306386685
TRINITY_DN296798_c5_g3,6.95790323602806
TRINITY_DN298149_c0_g1,6.89633448851288
TRINITY_DN298164_c0_g1,16.1880978904728
TRINITY_DN298173_c0_g1,31.8560663969651
TRINITY_DN298179_c0_g2,5.44848569599135
TRINITY_DN298417_c1_g1,4.8638736465291
TRINITY_DN298602_c0_g1,28.4037063556738
TRINITY_DN298605_c1_g1,6.17962708711493
TRINITY_DN298615_c0_g2,5.20496476026717
TRINITY_DN298618_c0_g1,28.826188790479
TRINITY_DN298805_c0_g1,31.7567788672611
TRINITY_DN298805_c0_g2,16.4910284473247
TRINITY_DN298805_c0_g4,26.3252393411618
TRINITY_DN298831_c0_g1,17.227757541773
TRINITY_DN298834_c0_g1,30.2599130466668
TRINITY_DN298834_c0_g2,28.1822096640491
TRINITY_DN298841_c2_g1,31.3263853352927
TRINITY_DN298843_c0_g1,23.8196706397253
TRINITY_DN298848_c3_g2,5.55991955591821
TRINITY_DN299024_c0_g1,5.7415941967167
TRINITY_DN299032_c0_g1,27.0964819481126
TRINITY_DN299040_c0_g1,25.2182953383955
TRINITY_DN299209_c0_g1,14.3427451528285
TRINITY_DN299263_c0_g1,14.510903369234
TRINITY_DN299263_c0_g2,8.66241578738287
TRINITY_DN299263_c0_g3,13.4206214986528
TRINITY_DN299270_c6_g1,7.86996483883981
TRINITY_DN299275_c0_g1,32.9358278911664
TRINITY_DN299276_c0_g3,9.91225358970776
TRINITY_DN299276_c0_g5,5.3435290429784
TRINITY_DN299653_c1_g2,8.8185418392187
TRINITY_DN299656_c3_g3,5.591956776171
TRINITY_DN299722_c1_g1,20.5578199932839
TRINITY_DN299729_c1_g1,30.4170118958996
TRINITY_DN299750_c3_g1,6.03870944783077
TRINITY_DN299755_c1_g3,12.9078419172498
TRINITY_DN299755_c1_g4,20.8677824396036
TRINITY_DN299758_c1_g1,5.85021775413057
TRINITY_DN299782_c2_g3,4.97715122048107
TRINITY_DN299783_c0_g3,10.9678844795399
TRINITY_DN299789_c0_g1,21.4320566908696
TRINITY_DN310027_c1_g1,31.3689045953193
TRINITY_DN310080_c0_g3,5.4034573682663
TRINITY_DN310082_c1_g1,5.48714303583836
TRINITY_DN310084_c1_g1,17.1548070011848
TRINITY_DN310084_c1_g2,22.0307530935381
TRINITY_DN310085_c0_g1,31.7837671327965
TRINITY_DN310729_c0_g1,5.0055594372661
TRINITY_DN310742_c1_g1,19.8852698893066
TRINITY_DN310743_c0_g1,6.42121411609119
TRINITY_DN310743_c5_g1,6.58833433858489
TRINITY_DN310744_c0_g3,27.7705113824792
TRINITY_DN310746_c0_g1,29.7970108277448
TRINITY_DN310746_c0_g3,15.9713196536417
TRINITY_DN310765_c2_g2,29.705383036216
TRINITY_DN311414_c0_g1,32.9584544617072
TRINITY_DN311418_c0_g2,24.1745639905438
TRINITY_DN311418_c0_g3,7.24774587601956
TRINITY_DN311419_c1_g1,15.3688557664698
TRINITY_DN311419_c1_g2,6.55373539622601
TRINITY_DN311463_c2_g1,8.05297682649827
TRINITY_DN311463_c3_g2,7.47557904625503
TRINITY_DN311468_c0_g1,27.7603500465939
TRINITY_DN311476_c1_g3,7.17413067891768
TRINITY_DN311478_c1_g1,11.1112875359971
TRINITY_DN311478_c1_g2,7.55845643369006
TRINITY_DN311484_c1_g1,16.6758399870042
TRINITY_DN311484_c1_g3,27.1980475965457
TRINITY_DN311484_c1_g5,12.1211695903073
TRINITY_DN311493_c0_g1,8.38704850229629
TRINITY_DN311730_c0_g1,7.05866616411403
TRINITY_DN311738_c1_g1,7.92389306178787
TRINITY_DN311742_c0_g1,23.1462132500443
TRINITY_DN311753_c2_g3,25.9880107589354
TRINITY_DN311753_c2_g8,29.4280304402189
TRINITY_DN311774_c0_g1,27.6540666136377
TRINITY_DN311783_c0_g2,34.8629032073826
TRINITY_DN311789_c4_g1,7.07522495265214
TRINITY_DN311790_c1_g3,4.80666561927109
TRINITY_DN311791_c1_g2,5.28295400826101
TRINITY_DN311798_c0_g2,4.87546133007814
TRINITY_DN311986_c0_g1,11.508437547225
TRINITY_DN311987_c0_g1,31.9056450566948
TRINITY_DN311987_c0_g6,23.7656547349302
TRINITY_DN312003_c1_g6,18.5742971032816
TRINITY_DN312005_c0_g4,32.1209855746484
TRINITY_DN312007_c1_g4,7.90535197410068
TRINITY_DN312090_c4_g1,33.0585072634167
TRINITY_DN312093_c0_g7,37.8092082631101
TRINITY_DN312702_c0_g1,7.53838857844656
TRINITY_DN312705_c0_g2,8.59923885938682
TRINITY_DN312707_c1_g1,31.921084667326
TRINITY_DN312713_c2_g1,10.3901874098524
TRINITY_DN312716_c1_g1,8.38196289712842
TRINITY_DN312717_c0_g3,5.31852459894329
TRINITY_DN312719_c0_g1,16.090160762119
TRINITY_DN312725_c0_g2,29.6932705713722
TRINITY_DN312726_c1_g1,11.060374029056
TRINITY_DN312726_c1_g3,35.477324117117
TRINITY_DN312737_c2_g3,9.7947733860892
TRINITY_DN312737_c2_g4,30.7749274870363
TRINITY_DN312737_c2_g5,6.91627450139918
TRINITY_DN312741_c6_g2,10.2936852317707
TRINITY_DN312741_c6_g4,5.68256448662723
TRINITY_DN312745_c1_g1,10.8553114006482
TRINITY_DN312745_c1_g2,6.02560668479661
TRINITY_DN312745_c1_g3,12.929402877154
TRINITY_DN312745_c1_g6,8.94752540963488
TRINITY_DN312752_c3_g1,33.4013612718826
TRINITY_DN312754_c1_g1,6.92108998810316
TRINITY_DN314157_c1_g3,8.04225973395653
TRINITY_DN314167_c0_g1,6.69734039265856
TRINITY_DN314168_c2_g5,26.9237929065273
TRINITY_DN314176_c0_g1,5.25978916295085
TRINITY_DN314179_c1_g1,7.74614036333536
TRINITY_DN314196_c0_g1,28.4033506212698
TRINITY_DN314234_c0_g5,32.1322198387052
TRINITY_DN314236_c0_g1,27.1880549321034
TRINITY_DN314275_c4_g1,7.42676704314031
TRINITY_DN314629_c0_g1,7.54089283169898
TRINITY_DN314641_c0_g1,6.73885597275749
TRINITY_DN314643_c0_g3,27.2013370340093
TRINITY_DN314645_c3_g1,27.7916518362773
TRINITY_DN314645_c3_g2,6.44838236884512
TRINITY_DN314645_c3_g3,22.2288595271744
TRINITY_DN314831_c0_g1,9.44344494608012
TRINITY_DN314831_c1_g1,31.1175322308316
TRINITY_DN314832_c0_g1,21.8032350926508
TRINITY_DN314834_c0_g2,32.8244005044944
TRINITY_DN314842_c0_g2,31.473818064979
TRINITY_DN314863_c3_g4,6.41976419003242
TRINITY_DN314864_c1_g2,30.4797692254391
TRINITY_DN314883_c0_g1,6.27175110894767
TRINITY_DN316260_c0_g1,23.9249502625423
TRINITY_DN316260_c0_g3,8.36020798421208
TRINITY_DN316647_c2_g1,5.53093788543622
TRINITY_DN316649_c0_g1,29.8423164350564
TRINITY_DN316900_c0_g1,15.14774073977
TRINITY_DN316900_c0_g2,13.9017964237127
TRINITY_DN316900_c0_g3,22.1117911718144
TRINITY_DN316904_c8_g6,4.83397222159431
TRINITY_DN316951_c1_g2,34.4103356722594
TRINITY_DN316973_c2_g1,6.61306365971301
TRINITY_DN316991_c4_g1,22.0619272119792
TRINITY_DN316993_c2_g1,6.52202152890507
TRINITY_DN317243_c9_g4,16.0666801000309
TRINITY_DN317261_c4_g1,6.67744870520752
TRINITY_DN317261_c5_g1,10.9133750820646
TRINITY_DN318563_c0_g1,27.9463018853476
TRINITY_DN34409_c0_g1,5.08168871801072
TRINITY_DN3463_c0_g1,5.82711800654852
TRINITY_DN3495_c0_g1,17.2253902813694
TRINITY_DN371660_c0_g1,5.05904303911176
TRINITY_DN45784_c0_g1,7.43941612002663
TRINITY_DN46127_c0_g1,5.06560245433097
TRINITY_DN4638_c0_g1,7.81313905299612
TRINITY_DN544815_c0_g1,5.98720113581207
TRINITY_DN6259_c0_g1,5.74856080659957
TRINITY_DN680_c0_g1,5.81128345908334
TRINITY_DN172833_c0_g1,-7.46754184728541
TRINITY_DN223640_c0_g1,-5.79696494257243
TRINITY_DN223830_c0_g1,-11.1920170870328
TRINITY_DN228042_c0_g1,-6.65350515666622
TRINITY_DN231207_c0_g1,-7.04053236614757
TRINITY_DN234177_c0_g1,-5.80114100435103
TRINITY_DN251094_c0_g1,-7.75838645089194
TRINITY_DN251132_c0_g1,-5.09206121749893
