gene,logP
TRINITY_DN227525_c0_g1,-3.07005307994731
TRINITY_DN293486_c0_g1,-3.06698388823058
TRINITY_DN293384_c0_g1,-3.06360630887957
TRINITY_DN312720_c0_g1,-3.0622687308378
TRINITY_DN61675_c0_g1,-3.06178660694199
TRINITY_DN312082_c2_g7,-3.04909381400193
TRINITY_DN584854_c0_g1,-3.04099211543295
TRINITY_DN257906_c0_g2,-3.01273703050124
TRINITY_DN102004_c0_g1,-3.01147077254895
TRINITY_DN62286_c0_g1,-3.00414426858554
TRINITY_DN311790_c0_g1,-2.99155317864273
TRINITY_DN317254_c5_g1,-2.98174278148027
TRINITY_DN371420_c0_g1,-2.96623579955295
TRINITY_DN37446_c0_g1,-2.96152443393725
TRINITY_DN317254_c3_g1,-2.9572059586531
TRINITY_DN312080_c2_g4,-2.86111116842718
TRINITY_DN317266_c4_g1,-2.85458038758027
TRINITY_DN22603_c0_g1,-2.83627275296875
TRINITY_DN359187_c0_g1,-2.83459170423284
TRINITY_DN48385_c0_g1,-2.83459170423284
TRINITY_DN4982_c0_g1,-2.83459170423284
TRINITY_DN17504_c0_g1,-2.83459168312003
TRINITY_DN344382_c0_g1,-2.83459167635913
TRINITY_DN4964_c0_g1,-2.83459163651694
TRINITY_DN21033_c0_g1,-2.83459162866833
TRINITY_DN274849_c0_g1,-2.83459157564487
TRINITY_DN312762_c1_g4,-2.8345915664857
TRINITY_DN3723_c0_g1,-2.83375191388886
TRINITY_DN276980_c0_g1,-2.80112553637337
TRINITY_DN252813_c0_g1,-2.79929135559528
TRINITY_DN62000_c0_g1,-2.78125745941889
TRINITY_DN40150_c0_g1,-2.77990086200614
TRINITY_DN316994_c2_g1,-2.76797273922645
TRINITY_DN317254_c4_g1,-2.76388094524536
TRINITY_DN311989_c2_g2,-2.75958249299566
TRINITY_DN442_c0_g1,-2.74818432436535
TRINITY_DN220363_c1_g1,-2.72839954600678
TRINITY_DN312762_c1_g2,-2.71762241303645
TRINITY_DN311775_c0_g1,-2.70215576166306
TRINITY_DN316214_c3_g1,-2.69846254223351
TRINITY_DN278901_c0_g1,-2.68954313291779
TRINITY_DN616376_c0_g1,-2.6859612157992
TRINITY_DN311923_c1_g1,-2.67998235161889
TRINITY_DN256530_c0_g1,-2.67544519279021
TRINITY_DN312006_c1_g1,-2.65157492534343
TRINITY_DN316227_c2_g7,-2.63371572392217
TRINITY_DN6598_c0_g1,-2.62583648961002
TRINITY_DN6490_c0_g1,-2.62299333566069
TRINITY_DN311923_c2_g1,-2.61390355161531
TRINITY_DN314848_c0_g3,-2.60643098327925
TRINITY_DN584850_c0_g1,-2.58836590398107
TRINITY_DN276049_c0_g1,-2.58114698748954
TRINITY_DN312006_c2_g1,-2.57154766614889
TRINITY_DN276864_c0_g2,-2.561087072633
TRINITY_DN312086_c6_g1,-2.54786619676137
TRINITY_DN32497_c0_g1,-2.54002639404071
TRINITY_DN11147_c0_g1,-2.53968206090242
TRINITY_DN542739_c0_g1,-2.52988330072452
TRINITY_DN255274_c0_g1,-2.51442446309523
TRINITY_DN233060_c0_g1,-2.50993767761205
TRINITY_DN220748_c0_g1,-2.50399800341793
TRINITY_DN220366_c0_g1,-2.4953945724453
TRINITY_DN175229_c0_g1,-2.4950622695142
TRINITY_DN294663_c0_g1,-2.49001857150147
TRINITY_DN311071_c1_g5,-2.48838009183092
TRINITY_DN37563_c0_g2,-2.4736125713664
TRINITY_DN317247_c5_g4,-2.47237618772315
TRINITY_DN276601_c0_g1,-2.46273095404797
TRINITY_DN314279_c1_g6,-2.4515524420383
TRINITY_DN104380_c0_g1,-2.44218030672817
TRINITY_DN6862_c0_g1,-2.43261295616856
TRINITY_DN4615_c0_g1,-2.42537490802276
TRINITY_DN294181_c0_g1,-2.42331998832275
TRINITY_DN686095_c0_g1,-2.41921392306194
TRINITY_DN256470_c1_g1,-2.41521141977433
TRINITY_DN311923_c3_g4,-2.40554030736861
TRINITY_DN294784_c0_g2,-2.39868378476559
TRINITY_DN274833_c0_g1,-2.39359356651166
TRINITY_DN5404_c0_g2,-2.37384235205203
TRINITY_DN5532_c0_g1,-2.37315841138211
TRINITY_DN314258_c3_g1,-2.36888535671839
TRINITY_DN226945_c0_g1,-2.36352707288585
TRINITY_DN22801_c0_g1,-2.35883144584885
TRINITY_DN293824_c0_g1,-2.35049599400429
TRINITY_DN276942_c0_g1,-2.33989816504478
TRINITY_DN222960_c0_g1,-2.33131304756097
TRINITY_DN293389_c0_g1,-2.32181927146975
TRINITY_DN22072_c0_g1,-2.31563576644618
TRINITY_DN292387_c4_g5,-2.30258282246531
TRINITY_DN35676_c0_g1,-2.28787797817634
TRINITY_DN316925_c1_g2,-2.28712916509415
TRINITY_DN371752_c0_g1,-2.28324842961603
TRINITY_DN298818_c0_g1,-2.28100182147088
TRINITY_DN316954_c4_g3,-2.26687810335744
TRINITY_DN278821_c0_g2,-2.26568753706077
TRINITY_DN251341_c0_g1,-2.26299850804448
TRINITY_DN271518_c0_g1,-2.26025755395551
TRINITY_DN256587_c1_g1,-2.25859268821776
TRINITY_DN276577_c0_g2,-2.24440042404575
TRINITY_DN220450_c0_g1,-2.23606960678022
TRINITY_DN375758_c0_g1,-2.2325613304805
TRINITY_DN256325_c0_g1,-2.22998983026682
TRINITY_DN668911_c0_g1,-2.22362762918774
TRINITY_DN6216_c0_g1,-2.21879708335692
TRINITY_DN314258_c2_g4,-2.21439540890929
TRINITY_DN104680_c0_g1,-2.21322335235002
TRINITY_DN292328_c0_g1,-2.2123879362569
TRINITY_DN251099_c0_g1,-2.20992772014383
TRINITY_DN292919_c0_g1,-2.20091524116053
TRINITY_DN277054_c0_g1,-2.19001078568951
TRINITY_DN271663_c0_g1,-2.17552981912265
TRINITY_DN317254_c5_g2,-2.16892789757038
TRINITY_DN316925_c1_g1,-2.1679291877489
TRINITY_DN312762_c0_g1,-2.15948724287874
TRINITY_DN676428_c0_g1,-2.15059814889893
TRINITY_DN380132_c0_g1,-2.15059813346398
TRINITY_DN2108_c0_g1,-2.15059810876607
TRINITY_DN211137_c0_g1,-2.15059810807588
TRINITY_DN375615_c0_g1,-2.15059809708182
TRINITY_DN314868_c0_g1,-2.14923491810856
TRINITY_DN4574_c0_g1,-2.14796560776117
TRINITY_DN27160_c0_g1,-2.14476972017839
TRINITY_DN310028_c0_g2,-2.14086621212465
TRINITY_DN222929_c0_g2,-2.13680654720051
TRINITY_DN294653_c0_g3,-2.13675218989642
TRINITY_DN6840_c0_g1,-2.12703156319374
TRINITY_DN312748_c0_g4,-2.12682859075183
TRINITY_DN227368_c0_g1,-2.11745880762741
TRINITY_DN238255_c0_g1,-2.10984519425316
TRINITY_DN544626_c0_g1,-2.10214689192816
TRINITY_DN626203_c0_g1,-2.1021467471634
TRINITY_DN314888_c1_g1,-2.09449878238926
TRINITY_DN298612_c2_g2,-2.08022856271697
TRINITY_DN314258_c3_g5,-2.07839105947891
TRINITY_DN256217_c0_g1,-2.07497065060717
TRINITY_DN292910_c0_g2,-2.07005646592754
TRINITY_DN312006_c3_g1,-2.05462068944592
TRINITY_DN316925_c2_g2,-2.0520672855491
TRINITY_DN111599_c0_g1,-2.04183446656048
TRINITY_DN688119_c0_g1,-2.0410808927252
TRINITY_DN296750_c0_g4,-2.02712357406962
TRINITY_DN254041_c0_g1,-2.02693278128636
TRINITY_DN2987_c0_g1,-2.02610034742427
TRINITY_DN316922_c2_g4,-2.01316160899956
TRINITY_DN524444_c0_g1,-2.00909436865398
TRINITY_DN311039_c2_g2,-1.99860909883568
TRINITY_DN317261_c5_g1,-1.9965752501703
TRINITY_DN104682_c0_g1,-1.99477289741579
TRINITY_DN233016_c0_g1,-1.98210223239814
TRINITY_DN616367_c0_g1,-1.98210223239814
TRINITY_DN25663_c0_g1,-1.97670469533984
TRINITY_DN104265_c0_g1,-1.96772091739378
TRINITY_DN314212_c0_g2,-1.93698482547346
TRINITY_DN316214_c4_g7,-1.93004303470657
TRINITY_DN295276_c1_g1,-1.92938235032959
TRINITY_DN226093_c0_g1,-1.91254673645904
TRINITY_DN252268_c0_g1,-1.90732612231521
TRINITY_DN274576_c0_g1,-1.9045841127589
TRINITY_DN277916_c0_g1,-1.89801389478761
TRINITY_DN173144_c0_g2,-1.89676409668974
TRINITY_DN2949_c0_g1,-1.89662173359675
TRINITY_DN344061_c0_g1,-1.88376909964036
TRINITY_DN3808_c0_g1,-1.88238392331527
TRINITY_DN104875_c0_g1,-1.87860945871875
TRINITY_DN311417_c7_g2,-1.87758846334143
TRINITY_DN34620_c0_g1,-1.85728924946146
TRINITY_DN62172_c0_g1,-1.85728924537828
TRINITY_DN25631_c0_g1,-1.85728923533534
TRINITY_DN440465_c0_g1,-1.85728904542542
TRINITY_DN686023_c0_g1,-1.85728904542542
TRINITY_DN523714_c0_g1,-1.85728904510241
TRINITY_DN54278_c0_g1,-1.85728904510241
TRINITY_DN274633_c1_g1,-1.85728903050042
TRINITY_DN664252_c0_g1,-1.85728902272327
TRINITY_DN256949_c0_g1,-1.84718581320464
TRINITY_DN299038_c0_g1,-1.84319960108475
TRINITY_DN104321_c0_g1,-1.83511829229448
TRINITY_DN317266_c4_g6,-1.80483886076222
TRINITY_DN311494_c0_g4,-1.80321501178942
TRINITY_DN34625_c0_g1,-1.79859930638112
TRINITY_DN371136_c0_g1,-1.79774594513717
TRINITY_DN40173_c0_g1,-1.79774594300753
TRINITY_DN48181_c0_g1,-1.79774594153394
TRINITY_DN316996_c1_g1,-1.79774593661075
TRINITY_DN347188_c0_g1,-1.79699530478844
TRINITY_DN4875_c0_g1,-1.79672510478361
TRINITY_DN234189_c0_g1,-1.79270252662615
TRINITY_DN689712_c0_g1,-1.79255573226609
TRINITY_DN251019_c0_g1,-1.78573389128033
TRINITY_DN35391_c0_g1,-1.78373665446338
TRINITY_DN493676_c0_g1,-1.78033663913454
TRINITY_DN235337_c0_g1,-1.78018113155585
TRINITY_DN311071_c0_g3,-1.75966371636412
TRINITY_DN2983_c0_g1,-1.75769236608052
TRINITY_DN676150_c0_g1,-1.75682242779133
TRINITY_DN227719_c0_g1,-1.75607412424202
TRINITY_DN256511_c0_g1,-1.75521657883742
TRINITY_DN211663_c0_g1,-1.75378002186368
TRINITY_DN292978_c1_g5,-1.75102856195153
TRINITY_DN104878_c0_g1,-1.75102835459043
TRINITY_DN664272_c0_g1,-1.7421824820124
TRINITY_DN643083_c0_g1,-1.73648069590947
TRINITY_DN276083_c0_g2,-1.72612243175324
TRINITY_DN256585_c0_g1,-1.72047882950049
TRINITY_DN316233_c1_g2,-1.71660196518117
TRINITY_DN277088_c0_g1,-1.71581921875538
TRINITY_DN314258_c1_g1,-1.7158057758387
TRINITY_DN111548_c0_g1,-1.71559519717585
TRINITY_DN48556_c0_g1,-1.70560787277379
TRINITY_DN1600_c0_g1,-1.70560787217826
TRINITY_DN66607_c0_g1,-1.70426754263068
TRINITY_DN102666_c0_g1,-1.6985759983256
TRINITY_DN294103_c7_g1,-1.69702047107505
TRINITY_DN250566_c0_g1,-1.69646213179757
TRINITY_DN398464_c0_g1,-1.69646213179757
TRINITY_DN114043_c0_g1,-1.69617831500511
TRINITY_DN523548_c0_g1,-1.69600794808427
TRINITY_DN299037_c9_g2,-1.69357553802842
TRINITY_DN175175_c0_g1,-1.69123128818573
TRINITY_DN6591_c0_g1,-1.68257828326101
TRINITY_DN25106_c0_g1,-1.67652091107979
TRINITY_DN293686_c0_g1,-1.67533962370714
TRINITY_DN252387_c0_g1,-1.67167079422139
TRINITY_DN444293_c0_g1,-1.66781886059525
TRINITY_DN226961_c0_g1,-1.66726524599797
TRINITY_DN22662_c0_g1,-1.65840331767758
TRINITY_DN316936_c6_g3,-1.65840307673783
TRINITY_DN276567_c0_g1,-1.65171019919435
TRINITY_DN6641_c0_g1,-1.64477216472212
TRINITY_DN254061_c0_g1,-1.64428860089378
TRINITY_DN110603_c0_g1,-1.63469288120367
TRINITY_DN544542_c0_g1,-1.61948359245488
TRINITY_DN324273_c0_g1,-1.6193460517235
TRINITY_DN211623_c0_g1,-1.61778692523711
TRINITY_DN38427_c0_g1,-1.61587830675404
TRINITY_DN294744_c0_g1,-1.61436446117031
TRINITY_DN292363_c0_g1,-1.60955959196769
TRINITY_DN151706_c0_g1,-1.60927239151636
TRINITY_DN299250_c0_g1,-1.60323985109166
TRINITY_DN231567_c0_g1,-1.60047457485541
TRINITY_DN294779_c1_g7,-1.60020956088581
TRINITY_DN231594_c0_g1,-1.59550961590223
TRINITY_DN314888_c1_g2,-1.59410253686104
TRINITY_DN648325_c0_g1,-1.57157647313216
TRINITY_DN299785_c2_g1,-1.56708588008788
TRINITY_DN485699_c0_g1,-1.54158537257153
TRINITY_DN44045_c0_g1,-1.54158536369293
TRINITY_DN384853_c0_g1,-1.54158535020967
TRINITY_DN316644_c1_g3,-1.54158534882552
TRINITY_DN296378_c3_g2,-1.54158533791257
TRINITY_DN340650_c0_g1,-1.54158533657859
TRINITY_DN151661_c0_g1,-1.54158515794983
TRINITY_DN584852_c0_g1,-1.54158515794983
TRINITY_DN25417_c0_g1,-1.54158515106454
TRINITY_DN656204_c0_g1,-1.54158514723887
TRINITY_DN59353_c0_g1,-1.54158514490559
TRINITY_DN11966_c0_g1,-1.54158512262388
TRINITY_DN234175_c0_g1,-1.54158510120421
TRINITY_DN371196_c0_g1,-1.54158509356352
TRINITY_DN675591_c0_g1,-1.53597138697699
TRINITY_DN310087_c0_g3,-1.53438141525723
TRINITY_DN298170_c0_g1,-1.53010840188199
TRINITY_DN457897_c0_g1,-1.5264346808024
TRINITY_DN27162_c0_g1,-1.51642640145536
TRINITY_DN310733_c0_g1,-1.50896017439073
TRINITY_DN276400_c0_g1,-1.50602254215195
TRINITY_DN34016_c0_g1,-1.50495612900976
TRINITY_DN314636_c0_g1,-1.50344281708054
TRINITY_DN316933_c1_g2,-1.49961413863122
TRINITY_DN294748_c2_g2,-1.49768094474455
TRINITY_DN6170_c0_g1,-1.49214838199405
TRINITY_DN278829_c0_g2,-1.49189009027974
TRINITY_DN58486_c0_g1,-1.48471730744826
TRINITY_DN292387_c4_g2,-1.4784482005291
TRINITY_DN222901_c0_g1,-1.47469177396839
TRINITY_DN255275_c0_g1,-1.46910386929394
