GO:0000049	TRINITY_DN102431_c0_g1
GO:0000049	TRINITY_DN238280_c0_g1
GO:0000049	TRINITY_DN271649_c0_g1
GO:0000049	TRINITY_DN276607_c0_g1
GO:0000049	TRINITY_DN277000_c0_g1
GO:0000049	TRINITY_DN316649_c0_g1
GO:0000104	TRINITY_DN298605_c1_g1
GO:0000149	TRINITY_DN271641_c0_g3
GO:0000287	TRINITY_DN255876_c0_g1
GO:0000287	TRINITY_DN255960_c0_g1
GO:0000287	TRINITY_DN271000_c0_g1
GO:0000287	TRINITY_DN292383_c0_g1
GO:0000295	TRINITY_DN293818_c3_g2
GO:0001882	TRINITY_DN256219_c0_g2
GO:0001882	TRINITY_DN298167_c1_g1
GO:0001882	TRINITY_DN310742_c0_g4
GO:0001882	TRINITY_DN312716_c1_g1
GO:0001883	TRINITY_DN256219_c0_g2
GO:0001883	TRINITY_DN298167_c1_g1
GO:0001883	TRINITY_DN310742_c0_g4
GO:0001883	TRINITY_DN312716_c1_g1
GO:0003677	TRINITY_DN104822_c0_g1
GO:0003677	TRINITY_DN25194_c0_g1
GO:0003677	TRINITY_DN271688_c0_g1
GO:0003677	TRINITY_DN276081_c0_g1
GO:0003677	TRINITY_DN276081_c0_g2
GO:0003677	TRINITY_DN276935_c0_g1
GO:0003677	TRINITY_DN276943_c0_g1
GO:0003677	TRINITY_DN276983_c0_g1
GO:0003677	TRINITY_DN278966_c0_g1
GO:0003677	TRINITY_DN278966_c0_g2
GO:0003677	TRINITY_DN292378_c0_g2
GO:0003677	TRINITY_DN292387_c4_g1
GO:0003677	TRINITY_DN293494_c0_g1
GO:0003677	TRINITY_DN294650_c0_g4
GO:0003677	TRINITY_DN296758_c2_g5
GO:0003677	TRINITY_DN298472_c6_g3
GO:0003677	TRINITY_DN298834_c0_g2
GO:0003677	TRINITY_DN299750_c3_g3
GO:0003677	TRINITY_DN311791_c2_g1
GO:0003677	TRINITY_DN314173_c1_g1
GO:0003677	TRINITY_DN314234_c0_g5
GO:0003677	TRINITY_DN316210_c2_g1
GO:0003677	TRINITY_DN316260_c0_g1
GO:0003677	TRINITY_DN316260_c0_g3
GO:0003677	TRINITY_DN316973_c2_g1
GO:0003690	TRINITY_DN276983_c0_g1
GO:0003690	TRINITY_DN293494_c0_g1
GO:0003690	TRINITY_DN314234_c0_g5
GO:0003700	TRINITY_DN278923_c1_g1
GO:0003700	TRINITY_DN292979_c1_g2
GO:0003700	TRINITY_DN293450_c1_g1
GO:0003700	TRINITY_DN298447_c0_g1
GO:0003700	TRINITY_DN299255_c0_g1
GO:0003700	TRINITY_DN299276_c0_g5
GO:0003700	TRINITY_DN299658_c5_g1
GO:0003700	TRINITY_DN311419_c1_g1
GO:0003700	TRINITY_DN311475_c2_g1
