GeneID	S_10B	S_9A	S_13A	S_42A	S_46B	S_47B	S_48B	S_2A	S_2B	S_7B	S_8B	S_33A	S_36B	S_38A	S_40A
TRINITY_DN276910_c0_g1	5.789930187	5.288514739	6.169508974	5.631301825	4.897001672	5.811914422	3.750436618	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN276910_c0_g2	8.114627188	7.489279438	8.358677875	8.069278378	7.376873027	8.738402372	7.20981595	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.555100532	1.060434796
TRINITY_DN276917_c1_g1	1.060434796	1.498523235	1.060434796	1.060434796	1.655951822	2.855421812	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.526532857	1.060434796	2.134830437
TRINITY_DN276917_c1_g2	1.060434796	1.834107156	1.060434796	2.364254418	1.655951822	2.220749492	1.993143853	1.74026046	1.88581625	3.265020575	1.628546064	1.060434796	1.878251772	1.060434796	2.134830437
TRINITY_DN276932_c0_g1	1.060434796	4.806562744	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.988649135	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	2.97293112
TRINITY_DN276935_c0_g1	5.491053493	2.861037042	3.970485375	2.739959837	1.655951822	3.903475717	3.531436265	1.74026046	1.060434796	1.060434796	1.060434796	1.060434796	1.526532857	1.922777888	1.060434796
TRINITY_DN276935_c0_g2	2.334412939	1.834107156	2.577378605	1.060434796	1.060434796	1.060434796	1.993143853	1.060434796	1.531363875	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN276939_c0_g1	10.36613493	9.072980113	10.74028483	10.02312494	8.757052246	9.852092968	10.63181673	10.16838609	10.09181998	9.940658743	10.56872497	10.34008852	9.674785934	10.14284842	9.877663978
TRINITY_DN276939_c0_g2	1.833703142	1.060434796	1.060434796	2.739959837	1.060434796	2.855421812	1.993143853	2.695869542	2.948744466	1.788362656	2.351887504	1.775037812	2.160810364	1.555100532	2.471188131
TRINITY_DN276943_c0_g1	1.060434796	1.060434796	3.559860772	1.060434796	4.48122249	6.162533019	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
TRINITY_DN276974_c0_g1	7.094551435	5.691081266	5.818832964	7.205476037	6.394862838	8.062815095	6.757986071	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.555100532	1.695418181
TRINITY_DN276983_c0_g1	6.24855351	4.645282937	5.28443608	3.495116278	2.076237769	4.330280698	4.634086158	9.595305375	8.804992631	8.480808398	9.072868597	9.103861078	7.408609121	8.843242539	8.135182196
